id,match_id,timestamp,difficulty,event_type,striker_or_culprit,shot_type,fault_reason,pos_x,pos_y,pos_z,ball_speed,reaction_time_ms
426,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
427,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,1.69,0.15,-11.565,25.311,
428,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.69,0.15,-11.565,19.908,
429,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,2.588,0.15,5.943,12.034,
430,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.839,2.237,10.842,28.508,2593
431,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,1.905,0.65,-11.213,0,
432,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
433,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.779,0.782,-9.493,18.302,
434,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,0.116,0.15,6.366,11.615,
435,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,DRIVE,NONE,-0.411,1.881,11.394,34.206,2478
436,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-0.049,0.202,-11.488,19.826,
437,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,0.43,0.15,6.047,12.044,
438,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,0.569,2.183,11.108,28.503,2593
439,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,0.842,0.675,-10.936,19.448,
440,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,1.664,0.15,6.37,12.068,
441,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,1.86,2.393,10.501,28.469,2462
442,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.505,0.42,-12.473,20.788,
443,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,2.122,0.15,6.222,12.554,
444,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.212,2.393,8.94,28.42,2429
445,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,1.495,0.754,-12.2,0,
446,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
447,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.804,2.556,14.425,28.484,50891
448,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,2.624,0.816,-8.093,17.438,
449,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,2.797,0.15,7.115,11.294,
450,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,DRIVE,NONE,2.831,1.852,10.102,34.228,2068
451,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.658,0.183,-12.215,20.28,
452,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,1.602,0.15,5.949,12.323,
453,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,1.581,1.621,12.58,28.753,2856
454,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,-1.022,0.15,-10.394,25.24,
455,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-1.206,0.411,-12.013,20.235,
456,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-2.479,0.15,5.874,12.257,
457,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,DRIVE,NONE,-2.852,2.328,11.118,34.238,2691
458,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-1.761,0.505,-12.321,20.488,
459,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-0.009,0.15,5.767,12.43,
460,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,0.615,1.868,12.209,28.693,2905
461,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-1.62,0.445,-10.309,18.832,
462,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-1.952,0.15,6.363,11.8,
463,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,-2.05,2.019,11.292,28.507,2478
464,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,-1.551,0.15,-12.149,25.162,
465,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,-1.525,0.37,-13.359,0,
466,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
467,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.779,0.784,-9.49,18.387,
468,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,2.09,0.15,6.735,11.652,
469,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.214,0.987,13.226,28.794,2625
470,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,-0.222,0.15,-8.37,25.139,
471,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-0.678,0.563,-12.414,20.657,
472,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,0.129,0.15,6.238,12.6,
473,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,DRIVE,NONE,0.437,1.56,13.343,34.281,2987
474,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,0.806,0.15,-10.65,30.237,
475,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,0.836,0.387,-12.619,0,
476,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
477,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.779,0.782,-9.493,18.347,
478,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,2.569,0.15,6.633,11.633,
479,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.904,0.664,13.471,28.62,2675
480,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,2.761,0.15,-6.748,24.914,
481,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,2.718,0.474,-12.812,20.025,
482,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,3.392,0.15,5.129,12.296,
483,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,LOB,NONE,3.62,1.955,11.212,19.782,2774
484,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,2.786,2.003,-9.957,0,
485,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
486,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.862,2.264,15.777,28.51,1575
487,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,3.111,0.15,-8.572,25.216,
488,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,3.111,0.15,-8.572,17.632,
489,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,3.488,0.15,6.466,11.093,
490,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,DRIVE,NONE,3.572,1.768,9.838,34.226,2101
491,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,2.354,0.15,-12.483,30.278,
492,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,2.22,0.434,-14.939,21.898,
493,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,1.292,0.15,5.012,13.123,
494,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,0.974,2.342,11.857,28.521,3102
495,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,0.639,0.15,-12.498,25.212,
496,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,0.639,0.15,-12.498,0,
497,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
498,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.779,0.782,-9.493,18.266,
499,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,0.406,0.15,6.387,11.576,
500,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,-0.022,1.861,11.341,28.522,2445
501,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,-0.365,0.707,-9.793,0,
502,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
503,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.759,0.62,-9.952,18.458,
504,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,2.077,0.15,6.273,11.621,
505,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.176,1.816,11.337,28.526,2445
506,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.655,0.229,-11.178,19.565,
507,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,1.455,0.15,6.098,11.942,
508,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,DRIVE,NONE,1.404,2.254,10.514,34.191,2478
509,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.01,0.475,-12.361,20.462,
510,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,0.415,0.15,6.042,12.462,
511,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,0.302,2.589,9.541,28.421,2495
512,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,0.666,0.392,-13.433,0,
513,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
514,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.724,2.89,12.566,28.43,1772
515,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,2.038,0.855,-9.949,18.862,
516,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,2.168,0.15,6.886,11.907,
517,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.185,1.889,9.095,28.694,2150
518,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-0.817,0.312,-12.045,20.356,
519,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,0.618,0.15,5.913,12.297,
520,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,0.924,2.58,9.738,28.422,2527
521,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,0.541,0.702,-12.321,20.462,
522,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-0.878,0.15,5.95,12.497,
523,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,-1.165,2.689,9.649,28.423,2544
524,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-0.739,0.654,-12.866,21.195,
525,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-1.603,0.15,6.362,12.835,
526,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,-1.742,2.686,9.462,28.633,2544
527,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.019,0.81,-12.594,21.007,
528,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,1.217,0.15,6.6,12.831,
529,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,1.245,2.51,9.329,28.622,2478
530,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-1.389,0.784,-12.273,20.753,
531,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-0.073,0.15,6.493,12.744,
532,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,0.124,2.556,9.309,28.42,2478
533,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,0.401,0.678,-12.749,0,
534,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
535,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.759,0.621,-9.949,18.47,
536,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,1.457,0.15,6.423,11.728,
537,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,1.317,0.15,13.956,8.243,
538,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,PLAYER,NONE,DOUBLE_BOUNCE,1.317,0.15,13.956,0,
539,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,SERVE,NONE,-3,1.4,-19,29.345,
540,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-1.7,0.15,11.33,25.294,
541,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,-1.631,0.471,12.951,28.578,5514
542,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,PLAYER,NONE,NET_HIT,-1.386,1.119,0.085,0,
543,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,SERVE,NONE,-3,1.4,-19,29.345,
544,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-1.7,0.15,11.324,25.293,
545,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,LOB,NONE,-1.666,0.32,12.135,19.937,8451
546,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,-1.532,1.856,-7.557,0,
547,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,SERVE,NONE,3,1.4,19,29.345,
548,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.779,0.784,-9.487,18.392,
549,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,2.129,0.15,6.883,11.763,
550,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,2.218,2.162,11.037,28.497,2347
551,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,1.585,0.15,-12.393,25.172,
552,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,1.552,0.372,-13.605,21.195,
553,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,0.588,0.15,5.445,12.706,
554,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,0.294,2.501,11.248,28.488,2872
555,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,0.139,0.15,-13.107,25.228,
556,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,0.139,0.15,-13.107,21.332,
557,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,-0.59,0.15,6.157,12.783,
558,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,-0.805,2.614,11.847,28.524,2872
559,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,-0.681,0.15,-13.443,25.274,
560,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,AI,DRIVE,NONE,-0.681,0.15,-13.443,21.353,
561,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,PLAYER_SIDE,NONE,NONE,0.017,0.15,5.828,12.776,
562,match_1781728095297,2026-06-17T20:31:29.643Z,easy,SHOT,PLAYER,NORMAL,NONE,0.28,1.647,13.075,28.725,3069
563,match_1781728095297,2026-06-17T20:31:29.643Z,easy,BOUNCE,AI_SIDE,NONE,NONE,-1.922,0.15,-10.355,25.208,
564,match_1781728095297,2026-06-17T20:31:29.643Z,easy,FAULT,AI,NONE,BOT_MISS,-2.112,0.471,-12.378,0,